"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-10",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-11",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-12",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-13",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-14",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-17",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-18",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-19",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-20",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-21",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-24",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-25",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-26",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-27",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-09-28",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-01",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-02",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-03",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-04",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-05",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-08",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-09",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-10",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-11",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-12",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-15",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-16",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-17",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-18",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-22",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-23",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-24",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-25",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-30",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-10-31",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-01",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-05",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-08",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-09",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-12",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-13",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-14",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-15",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-16",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-19",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-20",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-21",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-26",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-28",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-11-29",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-04",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-05",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-06",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-07",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-10",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-11",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-12",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-13",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-17",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2018-12-18",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-02",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-03",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-04",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-07",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-08",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-09",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-10",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-01-14",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-04",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-05",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-11",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-12",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-14",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-15",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-19",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-21",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-22",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-27",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-02-28",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-04",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-05",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-06",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-07",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-15",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-26",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-27",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-28",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-03-29",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-01",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-02",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-03",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-04",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-05",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-08",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-09",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-15",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-22",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-23",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-24",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-25",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-26",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-29",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-04-30",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-01",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-02",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-03",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-06",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-07",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-09",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-10",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-13",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-14",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-15",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-16",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-17",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-20",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-21",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-22",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-23",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-24",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-28",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-29",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-30",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-05-31",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-06-03",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-06-04",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-06-05",,,,
"US1MNRM0085","SAINT PAUL 1.0 SSE, MN US","44.935757","-93.094081","215.8","2019-06-06",,,,
"US1MNRM0086","SHOREVIEW 2.2 N, MN US","45.115977","-93.14207","275.8","2018-10-01",,,,
"US1MNRM0086","SHOREVIEW 2.2 N, MN US","45.115977","-93.14207","275.8","2018-10-02",,,,
